Author,Title,Journal,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link
"Clifford, N. J.",Models in geography revisited,GEOFORUM,"Agent based models (ABMs) have many applications, and illustrate a rapidly developing field of enquiry, spanning both the physical-mathematical and human-social sciences. ABMs are seen as most appropriate in situations where decisions or actions are distributed around particular locations, and in which structure is viewed as emergent from the interaction between individuals. ABMs may be used either as representational devices, to reproduce the patterns observed or desired in the system of interest, or as foundational tools contributing to the development of social or economic theory. The role and status of models and modelling is itself an instantiation of a wider debate concerning representation and explanation. Today, a case can be made that the nature of explanation and the use of scientific interpretation reflect much less definite and exclusive positions and permit more diverse approaches than hitherto. The underlying proposition of this commentary is, therefore, that the time is right for a positive application of ABMs within the discipline of geography, and for a rediscovery and reappraisal of the richness and depth of insight in the model-building enterprise more generally. First, the context for ABM development and application is set with reference to the agency-structure debate. Second, some aspects of the heritage of models in geography is presented, based upon reviews of two benchmark publications bearing that title. Next, some of the most significant characteristics, uses, potentials and limitations of ABMs, are reviewed. Finally, some constructive ways forward are suggested, as informed by theory and method from the interpretative social sciences. (C) 2007 Elsevier Ltd. All rights reserved.",MAR,2008,39,2,10.1016/j.geoforum.2007.01.016,http://dx.doi.org/10.1016/j.geoforum.2007.01.016
"Lei, Z; Pijanowski, BC; Alexandridis, KT; Olson, J",Distributed modeling architecture of a multi-agent-based behavioral economic landscape (MABEL) model,SIMULATION-TRANSACTIONS OF THE SOCIETY FOR MODELING AND SIMULATION INTERNATIONAL,"The authors discuss a distributed modeling architecture in a multi-agent-based behavioral economic landscape (MABEL) model that simulates land-use changes over time and space. Based on agent-based modeling methodologies, MABEL presents a bottom-up approach to allow the analysis of dynamic features and relations among geographic, environmental, human, and socioeconomic attributes of landowners, as well as comprehensive relational schematics of land-use change. The authors adopt a distributed modeling architecture (DMA) in MABEL to separate the modeling of agent behaviors in Bayesian belief networks from task-specific simulation scenarios. Through a client-server infrastructure, MABEL provides an efficient and scalable decision request-response mechanism among heterogeneous agents, scenarios, and behavioral models. As an important part of the land-use change model, a market-bidding system and an adaptive land partition algorithm for land transactions are also discussed.",JUL,2005,81,7,10.1177/0037549705058067,http://dx.doi.org/10.1177/0037549705058067
"Nickdoost, Navid; Jalloul, Hiba; Choi, Juyeong",An integrated framework for temporary disaster debris management sites selection and debris collection logistics planning using geographic information systems and agent-based modeling,INTERNATIONAL JOURNAL OF DISASTER RISK REDUCTION,"Effective temporary debris management sites (TDMS) planning requires the consideration of its subsequent impact on debris collection logistics. This study establishes an integrated framework to determine the optimal locations for TDMSs that meet geographic requirements while minimizing the social and economic impacts imposed on the community due to uncollected debris. A geographic information system (GIS) was used to locate candidate TDMSs based on geographic parameters set forth by governing agencies. To consider the subsequent impact of TDMSs on debris collection, an agent-based model was constructed to evaluate post-disaster debris removal performance with varying TDMSs planning scenarios. Using the AnyLogic Optimization engine, the selection of TDMSs locations was optimized to minimize both overall debris collection time and subsequent negative impacts of uncollected debris on the public. The validity of the proposed framework was demonstrated through its application for determining optimal TDMSs locations in Liberty County, Florida, in response to Hurricane Michael where vegetative debris (i.e., potential fire hazards) and the debris within the urban areas are prioritized for collection. Compared to the actual debris collection time, the selected near-optimal TDMS locations resulted in a decrease in the total debris collection time from 156 to 112 days, with vegetative debris and debris located within the urban areas being collected within 60 and 70 days, respectively. The proposed framework will enable planners to (i) evaluate different TDMS planning scenarios in order to inform debris resource planning and management and (ii) prioritize the collection of specific types of debris based on their emergency/recovery preferences.",1-Oct,2022,80,,10.1016/j.ijdrr.2022.103215,http://dx.doi.org/10.1016/j.ijdrr.2022.103215
"Garrido, Sergio; Borysov, Stanislav S.; Pereira, Francisco C.; Rich, Jeppe",Prediction of rare feature combinations in population synthesis: Application of deep generative modelling,TRANSPORTATION RESEARCH PART C-EMERGING TECHNOLOGIES,"Population synthesis is concerned with the generation of agents for agent-based modelling in many fields, such as economics, transportation, ecology and epidemiology. When the number of attributes describing the agents and/or their level of detail becomes large, survey data cannot densely support the joint distribution of the attributes in the population due to the curse of dimensionality. It leads to a situation where many attribute combinations are missing from the sample data while such combinations exist in the real population. In this case, it becomes essential to consider methods that are able to impute such missing information effectively. In this paper, we propose to use deep generative latent models. These models are able to learn a compressed representation of the data space, which when projected back to the original space, leads to an effective way of imputing information in the observed data space. Specifically, we employ the Wasserstein Generative Adversarial Network (WGAN) and the Variational Autoencoder (VAE) for a large-scale population synthesis application. The models are applied to a Danish travel survey with a feature-space of more than 60 variables and trained and tested using cross validation. A new metric that applies to the evaluation of generative models in an unsupervised setting is proposed. It is based on the ability to generate diverse yet valid synthetic attribute combinations by comparing if the models can recover missing combinations (sampling zeros) while keeping truly impossible combinations (structural zeros) models at a minimum. For a low dimensional experiment, the VAE, the marginal sampler and the fully random sampler generate 5%, 21% and 26% more structural zeros per sampling zero when compared to the WGAN. For a high dimensional case, these figures increase to 44%, 2217% and 170440% respectively. This research directly supports the development of agent-based systems and in particular cases where detailed socio-economic or geographical representations are required.",NOV,2020,120,,10.1016/j.trc.2020.102787,http://dx.doi.org/10.1016/j.trc.2020.102787
"Yin, Dandong; Wang, Shaowen; Ouyang, Yanfeng",ViCTS: A novel network partition algorithm for scalable agent-based modeling of mass evacuation,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,"Emergency evacuation is a critical response to deadly disasters such as hurricanes, floods, and earthquakes, etc. However, mass emergency evacuation itself is a complex process that sometimes could lead to chaotic situations and unintended consequences. In many emergency scenarios, mass evacuation is necessary to cope with severe public threats within tight spatiotemporal ranges. To better understand complex phenomena like mass evacuation, and study possible consequences, agent-based models (ABMs) have been widely developed in previous work. Existing models simulate individual behaviors, posing computational challenges when applied to large geographic areas and sophisticated behaviors. A key strategy for resolving such computational challenges is to partition transportation networks into smaller regions and resolve corresponding computational costs by taking advantage of advanced cyberinfrastructure and cyberGIS. In this study, a novel network partition algorithm is developed to improve the scalability of agent-based modeling of mass evacuation based on a cutting-edge cyberGIS-enabled computational framework that exploits the spatial movement patterns of emergency evacuation. Specifically, the algorithm is termed as Voronoi Clustering based on Target-Shift, or ViCTS. It is enlightened by network Voronoi diagrams and designed to resolve computational scalability challenges caused by the unique characteristics of evacuation traffic. We conducted a set of computational experiments with real street network data in various evacuation scenarios to test the effectiveness and efficiency of the algorithm. Computational experiments show that ViCTS outperforms a widely used network partition algorithm for microscopic traffic simulation in terms of achieving optimal computational performance by balancing computational loads and reducing communications across high-performance parallel computing resources.",MAR,2020,80,,10.1016/j.compenvurbsys.2019.101452,http://dx.doi.org/10.1016/j.compenvurbsys.2019.101452
"Anderson, Taylor M.; Dragicevic, Suzana",Network-agent based model for simulating the dynamic spatial network structure of complex ecological systems,ECOLOGICAL MODELLING,"Non-spatial ecological networks provide insight into the organization and interaction between biological entities. More recently, biological dispersal is modelled using spatial networks, static sets of georeferenced habitat patches that connect based on a species' maximum dispersal distance. However, dispersal is complex, where spatial patterns at the landscape scale emerge from interactions between ecological entities and landscape features at much finer individual scales. Agent-based modelling (ABM) is a computational representation of complex systems capable of capturing this complexity. Therefore, this study develops a network-ABM (N-ABM) that combines network and complex systems theory to simulate complex evolving spatial networks. The developed N-ABM approach is implemented on the case study of the emerald ash borer (EAB) bark beetle using geospatial datasets in Ontario, Canada. The N-ABM generates dynamic spatial network structures that emerge from interactions between the EAB and tree agents at the individual scale. The resulting networks are analyzed using graph theory measures. Analysis of the results indicates a relationship between preferential attachment in insect host selection and the emergent scale-free network structure. The N-ABM approach can be used to represent dynamic ecological networks and provides insight into how network structure emerges from EAB dispersal dynamics, useful for forest management.",10-Dec,2018,389,,10.1016/j.ecolmodel.2018.10.008,http://dx.doi.org/10.1016/j.ecolmodel.2018.10.008
"Chapuis, Kevin; Taillandier, Patrick; Renaud, Misslin; Drogoul, Alexis",Gen*: a generic toolkit to generate spatially explicit synthetic populations,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,"Agent-based models tend to integrate more and more data that can deeply impact their outcomes. Among these data, the ones that deal with agent attributes and localization are particularly important, but are very difficult to collect. In order to tackle this issue, we propose a complete generic toolkit called Gen* dedicated to generating spatially explicit synthetic populations from global (census and GIS) data. This article focuses on the localization methods provided by Gen* that are based on regression, geometrical constraints and spatial distributions. The toolkit is applied for a case study concerning the generation of the population of Rouen (France) and shows the capabilities of Gen* regarding population spatialization.",,2018,32,6,10.1080/13658816.2018.1440563,http://dx.doi.org/10.1080/13658816.2018.1440563
"Xu, Zhijing; Glass, Kathryn; Lau, Colleen L.; Geard, Nicholas; Graves, Patricia; Clements, Archie",A Synthetic Population for Modelling the Dynamics of Infectious Disease Transmission in American Samoa,SCIENTIFIC REPORTS,"Agent-based modelling is a useful approach for capturing heterogeneity in disease transmission. In this study, a synthetic population was developed for American Samoa using an iterative approach based on population census, questionnaire survey and land use data. The population will be used as the basis for a new agent-based model, intended specifically to fill the knowledge gaps about lymphatic filariasis transmission and elimination, but also to be readily adaptable to model other infectious diseases. The synthetic population was characterized by the statistically realistic population and household structure, and high-resolution geographic locations of households. The population was simulated over 40 years from 2010 to 2050. The simulated population was compared to estimates and projections of the U.S. Census Bureau. The results showed the total population would continuously decrease due to the observed large number of emigrants. Population ageing was observed, which was consistent with the latest two population censuses and the Bureau's projections. The sex ratios by age groups were analysed and indicated an increase in the proportion of males in age groups 0-14 and 15-64. The household size followed a Gaussian distribution with an average size of around 5.0 throughout the simulation, slightly less than the initial average size 5.6.",1-Dec,2017,7,,10.1038/s41598-017-17093-8,http://dx.doi.org/10.1038/s41598-017-17093-8
"Hashemi, Mahdi; Alesheikh, Ali Asghar","GIS: agent-based modeling and evaluation of an earthquake-stricken area with a case study in Tehran, Iran",NATURAL HAZARDS,"Although many researchers have attempted to prevent or mitigate damages, estimate vulnerabilities and control natural catastrophes, an important phase of disaster management that has received less attention is the challenge of managing people and resources directly after an incident. Because earthquakes can be one of the most disastrous events, especially in Iran, the purpose of this article is to develop an easy-to-use multi-agent simulation and modeling environment for the assessment of different disaster management scenarios as measured in terms of saving additional lives. The earthquake-induced damages to buildings, streets and citizens are the inputs to the proposed model. Five mobile agent types: citizen, paramedic, street-opener, police and robber; one stationary agent type: gas valve; and five inactive agent types: building, street, shelter, hospital and fire station form the context of the model. Disaster managers are provided with customizable settings for the number and attributes of the agents in the user interface and can assess various statistical and visual results to determine the optimal number and characteristics of the agents as well as evaluate the effectiveness of the location of shelters. To simulate the extent of a calamity, this model is tested on a small region in Tehran, Iran. The agents are created and input to the model automatically via vector GIS data layers and the entire model is vector-based. A comparison between the results of two different scenarios highlights that increasing the number of street-openers and paramedics would not create the desired improvement as long as these agents are focused on fire stations and hospitals. Additionally, the impact of street blockages is significant after an earthquake, and therefore, the potential capacity of the street-openers demonstrated in the simulations points to the necessity of retrofitting buildings and widening streets before an earthquake occurs.",DEC,2013,69,3,10.1007/s11069-013-0784-x,http://dx.doi.org/10.1007/s11069-013-0784-x
"Torrens, Paul M.; McDaniel, Aaron W.",Modeling Geographic Behavior in Riotous Crowds,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,"Under some conditions, tensions among crowd members, harbored a priori or developed on site, might catalyze a crowd to riot, with dramatic consequences. We know perhaps less than we would like to about the processes that drive rioting in crowds because they are difficult to study. In particular, we know relatively little about the influence of geographic behavior on rioting, although there exists a general sense that it is important. In lieu of pragmatic avenues for studying riots, we could use simulation as a synthetic laboratory for exploration. To be useful, simulations must be based on realistic behavioral models, but the extant science for riot modeling has not traditionally provided that support. In this article, we introduce a new approach to modeling riot-prone and riotous crowds using behavior-driven computational agents. We demonstrate a simulation architecture based on socioemotional agents, modeled at atomic levels and characteristic times for riot activity, but extended with the use of geographical functionality that endows agents with spatial perception, cognition, and action that helps to determine where, when, how, and in what contexts and company their agency should be deployed and interpreted. In essence, our agents are polyspatial, with the ability to adapt their behavioral geography under shifting circumstances and to differentially process geographic information from diverse sources. We illustrate the usefulness of this scheme through simulation of a varying set of scenarios for riot formation, evolution, and dissolution, as well as in exploring the interplay among different characteristics, traits, and goals of riot participants.",,2013,103,1,10.1080/00045608.2012.685047,http://dx.doi.org/10.1080/00045608.2012.685047
"Li, Xia",Emergence of bottom-up models as a tool for landscape simulation and planning,LANDSCAPE AND URBAN PLANNING,"Geographical Information Systems (GIS) adopt a top-town approach which may have limitations for solving many landscape simulation and planning problems. Recently, a number of bottom-up models, such as cellular automaton models (CAs), agent-based models (ABMs), and swarm intelligence models (SIMs), have emerged as an important tool for assisting complex decision-making processes associated with landscape changes. These bottom-up models can be combined together and integrated with GIS to produce better modeling effects. This paper discuses the potentials and challenges for using these models. (C) 2010 Elsevier B.V. All rights reserved.",30-Apr,2011,100,4,10.1016/j.landurbplan.2010.11.016,http://dx.doi.org/10.1016/j.landurbplan.2010.11.016
"Mansury, Yuri; Gulyas, Laszlo",The emergence of Zipf's Law in a system of cities:: An agent-based simulation approach,JOURNAL OF ECONOMIC DYNAMICS & CONTROL,"This paper develops a spatial agent-based model to generate a system of cities that exhibits the statistical properties of the Zipf's Law. The numerical results suggest that the combination of bounded rationality and maximum heterogeneity of agents can produce a generic power-law relationship in the size distribution of cities, but does not always generate the Zipf's Law. We found sufficient conditions on the probability distribution of spatial reach to generate the Zipf's Law associated with unit power coefficient. Our model also indicates that the Zipf's Law breaks down unless the extent of agglomeration economies overwhelms the negative disagglomerating forces. (C) 2006 Elsevier B.V. All rights reserved.",JUL,2007,31,7,10.1016/j.jedc.2006.08.002,http://dx.doi.org/10.1016/j.jedc.2006.08.002
"Bearce, DH; Fisher, EO","Economic geography, trade, and war",JOURNAL OF CONFLICT RESOLUTION,"An agent-based model in which economic exchange and military conflict are emergent processes is used to explore the relationship between trade and war. The model of exchange is an applied analysis of the economics of trading networks. The model of conflict treats war as a breakdown in interstate bargaining due to incomplete information. The simulations explore how initial economic geography, state revisionism, defensive advantage, and technological advancement akin to globalization affect both trade and war. The results show that the relationship between trade and war depends on third factors, and an inverse relationship between trade and war emerges from compact geographies with revisionist states.",JUN,2002,46,3,10.1177/0022002702046003003,http://dx.doi.org/10.1177/0022002702046003003
"Rumson, Alexander G.; Garcia, Andres Payo; Hallett, Stephen H.","The role of data within coastal resilience assessments: an East Anglia, UK, case study",OCEAN & COASTAL MANAGEMENT,"Embracing the concept of resilience within coastal management marks a step change in thinking, building on the inputs of more traditional risk assessments, and further accounting for capacities to respond, recover and implement contingency measures. Nevertheless, many past resilience assessments have been theoretical and have failed to address the requirements of practitioners. Assessment methods can also be subjective, relying on opinion-based judgements, and can lack empirical validation. Scope exists to address these challenges through drawing on rapidly emerging sources of data and smart analytics. This, alongside the careful selection of the metrics used in assessment of resilience, can facilitate more robust assessment methods. This work sets out to establish a set of core metrics, and data sources suitable for inclusion within a data-driven coastal resilience assessment. A case study region of East Anglia, UK, is focused on, and data types and sources associated with a set of proven assessment metrics were identified. Virtually all risk-specific metrics could be satisfied using available or derived data sources. However, a high percentage of the resilience-specific metrics would still require human input. This indicates that assessment of resilience is inherently more subjective than assessment of risk. Yet resilience assessments incorporate both risk and resilience specific variables. As such it was possible to link 75% of our selected metrics to empirical sources. Through taking a case study approach and discussing a set of requirements outlined by a coastal authority, this paper reveals scope for the incorporation of rapidly progressing data collection, dissemination, and analytical methods, within dynamic coastal resilience assessments. This could facilitate more sustainable evidence-based management of coastal regions.",1-Mar,2020,185,,10.1016/j.ocecoaman.2019.105004,http://dx.doi.org/10.1016/j.ocecoaman.2019.105004
"Watts, Joshua; Morss, Rebecca E.; Barton, C. Michael; Demuth, Julie L.",Conceptualizing and implementing an agent-based model of information flow and decision making during hurricane threats,ENVIRONMENTAL MODELLING & SOFTWARE,"This article introduces an agent-based modeling laboratory for investigating how evolving hazard information, propagated through forecaster, media, public official, and peer information networks, affects patterns of public protective-action decisions during hurricane threats. The model, called CHIME ABM, provides a platform for integrating atmospheric science, social science, and computer and information science knowledge and data to explore the complex socio-ecological dynamics of modern hazard information and decision systems from a new perspective. First, the model's interdisciplinary conceptualization and implementation is described. Results are then presented from experiments demonstrating the model's behaviors and comparing patterns of evacuation decisions when key agent parameters and the geographical population distribution, forecast skill, and storm are varied. The article illustrates how this type of theoretically and empirically informed digital laboratory can be used to develop new insights into the interactions among environmental hazards, information flow, protective decisions, and societal outcomes.",DEC,2019,122,,10.1016/j.envsoft.2019.104524,http://dx.doi.org/10.1016/j.envsoft.2019.104524
"Gutfraind, Alexander; Boodram, Basmattee; Prachand, Nikhil; Hailegiorgis, Atesmachew; Dahari, Harel; Major, Marian E.",Agent-Based Model Forecasts Aging of the Population of People Who Inject Drugs in Metropolitan Chicago and Changing Prevalence of Hepatitis C Infections,PLOS ONE,"People who inject drugs (PWID) are at high risk for blood-borne pathogens transmitted during the sharing of contaminated injection equipment, particularly hepatitis C virus (HCV). HCV prevalence is influenced by a complex interplay of drug-use behaviors, social networks, and geography, as well as the availability of interventions, such as needle exchange programs. To adequately address this complexity in HCV epidemic forecasting, we have developed a computational model, the Agent-based Pathogen Kinetics model (APK). APK simulates the PWID population in metropolitan Chicago, including the social interactions that result in HCV infection. We used multiple empirical data sources on Chicago PWID to build a spatial distribution of an in silico PWID population and modeled networks among the PWID by considering the geography of the city and its suburbs. APK was validated against 2012 empirical data (the latest available) and shown to agree with network and epidemiological surveys to within 1%. For the period 2010-2020, APK forecasts a decline in HCV prevalence of 0.8% per year from 44(+/- 2)% to 36(+/- 5)%, although some sub-populations would continue to have relatively high prevalence, including Non-Hispanic Blacks, 48(+/- 5)%. The rate of decline will be lowest in Non-Hispanic Whites and we find, in a reversal of historical trends, that incidence among non-Hispanic Whites would exceed incidence among Non-Hispanic Blacks (0.66 per 100 per years vs 0.17 per 100 person years). APK also forecasts an increase in PWID mean age from 35(+/- 1) to 40(+/- 2) with a corresponding increase from 59 (+/- 2)% to 80(+/- 6)% in the proportion of the population >30 years old. Our studies highlight the importance of analyzing subpopulations in disease predictions, the utility of computer simulation for analyzing demographic and health trends among PWID and serve as a tool for guiding intervention and prevention strategies in Chicago, and other major cities.",30-Sep,2015,10,9,10.1371/journal.pone.0137993,http://dx.doi.org/10.1371/journal.pone.0137993
"Schmitt, Clara; Rey-Coyrehourcq, Sebastien; Reuillon, Romain; Pumain, Denise",Half a billion simulations: evolutionary algorithms and distributed computing for calibrating the SimpopLocal geographical model,ENVIRONMENT AND PLANNING B-PLANNING & DESIGN,"Multiagent geographical models integrate very large numbers of spatial interactions. In order to validate these models a large amount of computing is necessary for their simulation and calibration. Here a new data-processing chain, including an automated calibration procedure, is tested on a computational grid using evolutionary algorithms. This is applied for the first time to a geographical model designed to simulate the evolution of an early urban settlement system. The method enables us to reduce the computing time and provides robust results. Using this method, we identify several parameter settings that minimize three objective functions that quantify how closely the model results match a reference pattern. As the values of each parameter in different settings are very close, this estimation considerably reduces the initial possible domain of variation of the parameters. Thus the model is a useful tool for further multiple applications in empirical historical situations.",,2015,42,2,10.1068/b130064p,http://dx.doi.org/10.1068/b130064p
"Bithell, Mike; Brasington, James; Richards, Keith","Discrete-element, individual-based and agent-based models: Tools for interdisciplinary enquiry in geography?",GEOFORUM,"Discrete-element, individual-based and agent-based modelling techniques represent the interactions of individuals or entities with one another and their environments by sets of computational rules. These methods are now being used in geophysics, ecology, zoology, and increasingly in the social sciences. A characteristic is that the agents are embedded in an environment with which they interact, so that joint evolution of physical, ecological and socio-economic systems can be studied; this makes them of interest in integrated geographical investigation. Of particular interest is the fact that they allow the study of macro-scale emergent behaviour generated by multiple individual actions. Discrete techniques have the potential to create integrated models that cross disciplines. Similar computational methods can be employed to control the spatial search process, deal with irregular or changing boundaries, and to track the evolution of systems where preservation of heterogeneity across space and time is important. The complex series of feedbacks between the different types of system can thus be modelled within a single computational framework. Humans modelled in this way as agents can allow the collective effect of many interacting individuals to generate emergent structures at the community scale. The structural characteristics of their social and natural environments will influence their behaviour, while at the same time constituting emergent consequences of their actions. The principal challenge of the latter is to find those sets of rules that represent the beliefs and desires of real human agents, accurately reflecting the cultural context, while allowing us to explore the social and economic limitations of agents to take action. This paper reviews and illustrates discrete methods applicable to a range of geographical enquiries, and with particular reference to individual- and agent-based methods, assesses the rich diversity of approaches that must be combined to take full advantage of their potential to explore interactions of social and environmental processes. (C) 2006 Elsevier Ltd. All rights reserved.",MAR,2008,39,2,10.1016/j.geoforum.2006.10.014,http://dx.doi.org/10.1016/j.geoforum.2006.10.014
"Aalto, Mika; Raghu, K. C.; Korpinen, Olli-Jussi; Karttunen, Kalle; Ranta, Tapio",Modeling of biomass supply system by combining computational methods - A review article,APPLIED ENERGY,"As computing power increases, more complex computational models are utilized for biomass supply system studies. The paper describes three commonly used modeling methods in this context, geographic information systems, life-cycle assessment, and discrete-time simulation and presents bibliometric analysis of work using these three study methods. Of the 498 publications identified in searches of the Scopus and Web of Science databases, 17 reported on combinations of methods: 10 on life-cycle assessment and geographic information systems, six on joint use of life-cycle assessment and discrete-time simulation, and one on use of geographic information systems jointly with discrete-time simulation. While no articles dealt directly with simultaneous use of all three methods, several acknowledged the potential of this. The authors discuss numerous challenges identified in the review that arise in combining methods, among them computational load, the increasing number of assumptions, guaranteeing coherence between the models used, and the large quantities of data required. Discussion of issues such as the complexity of reporting and the need for standard procedures and terms becomes more critical as repositories bring together research materials, including entire models, from various sources. Efforts to mitigate many of modeling's challenges have involved phase-specific modeling and use of such methods as expressions or uncertainty analysis in place of a complex secondary model. The authors conclude that combining modeling methods offer considerable potential for taking more variables into account; improving the results; and benefiting researchers, decision makers, and operation managers by producing more reliable information.",1-Jun,2019,243,,10.1016/j.apenergy.2019.03.201,http://dx.doi.org/10.1016/j.apenergy.2019.03.201
"Aurbach, Annika; Schmid, Baptiste; Liechti, Felix; Chokani, Ndaona; Abhari, Reza",Complex behaviour in complex terrain - Modelling bird migration in a high resolution wind field across mountainous terrain to simulate observed patterns,JOURNAL OF THEORETICAL BIOLOGY,"Crossing of large ecological barriers, such as mountains, is in terms of energy considered to be a demanding and critical step during bird migration. Besides forming a geographical barrier, mountains have a profound impact on the resulting wind flow. We use a novel framework of mathematical models to investigate the influences of wind and topography on nocturnal passerine bird behaviour, and to assess the energy costs for different flight strategies for crossing the Jura Mountains. The mathematical models include three biological models of bird behaviour: i) wind drift compensation; ii) adaptation of flight height for favourable winds; and, iii) avoidance of obstacles (cross over and/or circumvention of an obstacle following a minimum energy expenditure strategy), which are assessed separately and in combination. Further, we use a mesoscale weather model for high-resolution predictions of the wind fields. We simulate the broad front nocturnal passerine migration for autumn nights with peak migration intensities. The bird densities retrieved from a weather radar are used as the initial intensities and to specify the vertical distributions of the simulated birds. It is shown that migration over complex terrain represents the most expensive flight option in terms of energy expenditure, and wind is seen to be the main factor that influences the energy expenditure in the bird's preferred flight direction. Further, the combined effects of wind and orography lead to a high concentration of migratory birds within the favourable wind conditions of the Swiss lowlands and north of the Jura Mountains. (C) 2018 Elsevier Ltd. All rights reserved.",7-Oct,2018,454,,10.1016/j.jtbi.2018.05.039,http://dx.doi.org/10.1016/j.jtbi.2018.05.039
"Torrens, Paul M.",Intertwining agents and environments,ENVIRONMENTAL EARTH SCIENCES,"Connections between human agents and dynamic natural and physical environments can be difficult to explore, particularly for critical scenarios in which evidence is often scarce. For these scenarios, we often turn to modeling and simulation as sandboxes for our inquiry. However, in the absence of fine-grain ground truth about events and phenomena that are often extraordinary in the human experience, our models have settled upon a tradition of coarse representation. In this paper, we introduce a method for developing rich connections between agents and environment. We present a scheme for Virtual Geographic Environments, which puts them to use as a platform for intertwining diverse spatial data from Geographic Information Systems, three-dimensional mesh models of built settings, agent-based models of human cognition and movement, and richly specified process models for physical phenomena and human behavior. To demonstrate the usefulness of the scheme, we will present a unified model of human-physical response to built damage following a simulated earthquake.",NOV,2015,74,10,10.1007/s12665-015-4738-3,http://dx.doi.org/10.1007/s12665-015-4738-3
"Maroulis, Spiro; Bakshy, Eytan; Gomez, Louis; Wilensky, Uri",Modeling the Transition to Public School Choice,JASSS-THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION,"We develop an agent-based model that captures the dynamic processes related to moving from an educational system in which students are automatically assigned to a neighborhood school to one that gives households more choice among existing and newly formed public schools. Analysis of our model reveals the importance of considering the timing of the entrance of new schools into the system in addition to their quantity and quality. Our model further reveals a range of conditions where the more households emphasize school achievement relative to geographic proximity in their school choice decision, the lower the mean achievement of the district a paradoxical mismatch between micro-and macro-levels of behavior. We use data from Chicago Public Schools to initialize the model.",31-Mar,2014,17,2,10.18564/jasss.2402,http://dx.doi.org/10.18564/jasss.2402
"Baptestini, Elizabeth M.; de Aguiar, Marcus A. M.; Bar-Yam, Yaneer",Conditions for neutral speciation via isolation by distance,JOURNAL OF THEORETICAL BIOLOGY,"The branching of new species from an ancestral population requires the evolution of reproductive isolation between groups of individuals. Geographic separation of sub-populations by natural barriers, if sustained for sufficiently long times, may lead to the accumulation of independent genetic changes in each group and to mating incompatibilities (Mayr, 2001; Fitzpatrick et al., 2009). A similar phenomenon may occur in the absence of barriers via isolation by distance if the population is distributed over large areas (de Aguiar et al., 2009; Etienne and Haegeman, 2011; Gavrilets et al., 2000). The first demonstration of this process was based on computer simulations employing agent-based models. Recently, analytical results were derived combining network theory, to model the spatial structure of the population, and an ansatz that accounts for the effect of forbidding mating between individuals that are too different genetically (de Aguiar and Bar-Yam, 2011). The main result obtained with this approach is an expression that indicates when speciation is possible as a function of the parameters describing the population. The aim of this work is to test this analytical result by comparing it with numerical simulations for a hermaphroditic population (de Aguiar et al., 2009) and for a population whose individuals are explicitly separated into males and females (Baptestini et al., 2013). We show that the analytical formula is indeed a very good overall description of the simulations and that the exponents describing dependence of the critical threshold of speciation with the parameters are in good agreement with the simulations. (C) 2013 Elsevier Ltd. All rights reserved.",21-Oct,2013,335,,10.1016/j.jtbi.2013.06.011,http://dx.doi.org/10.1016/j.jtbi.2013.06.011
"Pumain, Denise; Sanders, Lena",Theoretical principles in interurban simulation models: a comparison,ENVIRONMENT AND PLANNING A-ECONOMY AND SPACE,"Agent-based models are increasingly used by urban specialists, supplanting the simulation models using differential equations which were more popular earlier. These models already made reference to the theories of self-organisation and to mechanisms of evolution not so far from those used today to describe the emergence of macroscopic properties or structures in a bottom-up process from interactions operating at the microlevel. Moreover there is less difference than often suggested in the literature between the two forms of modelling - differential equations and multi-agent models-in the way they integrate principles of urban theory. To test this assumption, we compare models made of systems of differential equations (Allen's model firmly rooted in self-organisation theory and the model developed by Weidlich and Haag, affiliated to synergetic theory) with multi-agent models (SIMPOP family) designed to meet the same task: simulating the differentiated dynamics of urban entities over the medium to long term from their functional economic specialisation. We show that multi-agent systems are providing interesting solutions for the modelling method, because of their greater ability to simulate the emergence of geographical macrostructures from different levels of interaction.",SEP,2013,45,9,10.1068/a45620,http://dx.doi.org/10.1068/a45620
